Avg Speed (km/h),Distance (km),Road Type,Battery (kWh),Top Speed (km/h),Range_per_Charge,Bus Type,Charger Type,Passenger Capacity
51,245,Highway,455,111,380,Double Decker Bus,Fast DC,85
34,149,Rural,403,82,310,Standard City Bus,Fast DC,60
52,229,Highway,446,102,341,Double Decker Bus,Depot,83
32,224,Urban,330,87,246,Mini Bus,Fast DC,29
42,252,Highway,419,102,308,Articulated Bus,Fast DC,94
38,185,Urban,328,94,243,Mini Bus,Depot,33
33,136,Rural,323,90,247,Mini Bus,Depot,28
50,284,Highway,401,107,290,Articulated Bus,Pantograph,88
40,253,Highway,416,94,299,Articulated Bus,Pantograph,84
26,143,Rural,437,74,316,Articulated Bus,Pantograph,92
33,225,Urban,432,86,344,Double Decker Bus,Pantograph,74
35,182,Rural,454,94,365,Double Decker Bus,Pantograph,84
50,264,Highway,445,110,353,Articulated Bus,Fast DC,80
34,209,Urban,428,92,327,Double Decker Bus,Fast DC,76
26,169,Rural,454,78,341,Double Decker Bus,Pantograph,78
40,257,Highway,366,100,276,Standard City Bus,Fast DC,52
34,216,Urban,334,88,278,Mini Bus,Fast DC,25
48,232,Highway,418,107,343,Standard City Bus,Pantograph,58
54,285,Highway,452,114,334,Articulated Bus,Pantograph,88
30,149,Rural,408,87,335,Articulated Bus,Fast DC,94
51,295,Highway,319,100,240,Mini Bus,Fast DC,26
50,236,Highway,432,106,341,Articulated Bus,Pantograph,93
54,254,Highway,456,101,330,Articulated Bus,Pantograph,82
30,143,Rural,412,86,318,Standard City Bus,Depot,59
31,187,Rural,307,91,219,Mini Bus,Pantograph,30
35,181,Urban,472,88,336,Double Decker Bus,Fast DC,80
32,152,Rural,379,90,302,Standard City Bus,Fast DC,52
38,191,Urban,453,95,346,Articulated Bus,Depot,88
33,152,Rural,315,88,233,Mini Bus,Depot,28
54,239,Highway,418,105,298,Standard City Bus,Fast DC,55
25,180,Rural,402,84,301,Articulated Bus,Depot,86
53,242,Highway,403,100,296,Standard City Bus,Fast DC,50
33,174,Urban,360,90,287,Standard City Bus,Depot,64
31,189,Urban,369,86,275,Standard City Bus,Depot,50
30,180,Rural,376,88,315,Standard City Bus,Depot,59
32,188,Urban,398,88,336,Standard City Bus,Pantograph,59
55,275,Highway,420,105,314,Articulated Bus,Pantograph,83
34,134,Rural,460,88,373,Double Decker Bus,Fast DC,74
54,284,Highway,380,108,271,Standard City Bus,Pantograph,53
30,213,Urban,423,86,341,Articulated Bus,Fast DC,82
49,244,Highway,445,107,370,Articulated Bus,Depot,84
37,206,Urban,420,85,333,Standard City Bus,Pantograph,64
50,231,Highway,290,105,204,Mini Bus,Depot,33
41,252,Highway,420,97,307,Double Decker Bus,Pantograph,83
26,157,Rural,389,83,295,Standard City Bus,Pantograph,65
55,231,Highway,410,104,310,Articulated Bus,Fast DC,90
53,296,Highway,286,106,212,Mini Bus,Depot,29
54,263,Highway,387,111,304,Standard City Bus,Depot,64
41,273,Highway,388,99,304,Standard City Bus,Fast DC,65
36,215,Urban,416,93,328,Standard City Bus,Depot,52
29,136,Rural,396,80,317,Standard City Bus,Fast DC,54
43,249,Highway,378,98,291,Standard City Bus,Fast DC,56
33,195,Rural,448,83,351,Double Decker Bus,Pantograph,79
38,178,Urban,360,98,290,Standard City Bus,Fast DC,58
34,215,Urban,397,80,318,Standard City Bus,Fast DC,52
48,247,Highway,407,107,312,Articulated Bus,Fast DC,85
26,148,Rural,339,78,270,Mini Bus,Pantograph,34
53,234,Highway,445,100,318,Articulated Bus,Pantograph,88
28,145,Rural,401,80,336,Articulated Bus,Fast DC,90
39,178,Urban,453,97,358,Articulated Bus,Pantograph,88
47,247,Highway,436,94,312,Double Decker Bus,Depot,85
39,178,Urban,384,97,320,Standard City Bus,Fast DC,62
38,180,Urban,397,94,289,Articulated Bus,Depot,83
39,217,Urban,475,90,375,Double Decker Bus,Depot,85
33,183,Urban,467,81,376,Double Decker Bus,Depot,84
30,177,Urban,292,89,247,Mini Bus,Fast DC,31
45,264,Highway,393,97,305,Articulated Bus,Depot,90
33,235,Urban,390,81,275,Standard City Bus,Depot,53
33,190,Rural,446,89,328,Articulated Bus,Pantograph,94
51,299,Highway,436,110,369,Double Decker Bus,Pantograph,75
33,188,Urban,415,79,306,Standard City Bus,Depot,61
41,259,Highway,472,91,345,Double Decker Bus,Fast DC,74
32,179,Urban,447,89,341,Articulated Bus,Depot,81
53,221,Highway,460,111,376,Double Decker Bus,Depot,84
50,220,Highway,314,107,238,Mini Bus,Depot,26
28,151,Rural,389,75,277,Standard City Bus,Depot,57
35,180,Urban,307,88,250,Mini Bus,Pantograph,32
27,165,Rural,406,75,338,Standard City Bus,Pantograph,58
34,196,Rural,427,79,325,Double Decker Bus,Depot,80
44,284,Highway,322,102,263,Mini Bus,Pantograph,27
32,140,Rural,405,83,336,Standard City Bus,Pantograph,54
53,274,Highway,331,108,268,Mini Bus,Pantograph,27
35,205,Urban,413,90,291,Articulated Bus,Pantograph,93
54,229,Highway,467,105,367,Double Decker Bus,Fast DC,80
35,186,Rural,412,89,335,Standard City Bus,Depot,51
36,191,Urban,448,95,332,Double Decker Bus,Depot,74
34,196,Urban,299,91,212,Mini Bus,Depot,26
31,232,Urban,448,84,352,Articulated Bus,Pantograph,87
32,194,Urban,331,82,258,Mini Bus,Pantograph,32
45,226,Highway,437,105,370,Double Decker Bus,Pantograph,71
35,175,Rural,459,82,342,Double Decker Bus,Depot,77
46,295,Highway,413,104,298,Standard City Bus,Pantograph,50
54,240,Highway,300,100,225,Mini Bus,Fast DC,27
40,232,Urban,399,88,294,Articulated Bus,Pantograph,90
41,268,Highway,431,100,327,Double Decker Bus,Depot,78
35,152,Rural,428,90,338,Double Decker Bus,Fast DC,79
54,294,Highway,476,107,377,Double Decker Bus,Pantograph,78
38,240,Urban,334,92,239,Mini Bus,Depot,26
45,231,Highway,419,102,307,Articulated Bus,Fast DC,86
31,165,Rural,369,86,304,Standard City Bus,Depot,53
38,213,Urban,319,96,227,Mini Bus,Depot,35
42,294,Highway,427,91,359,Articulated Bus,Fast DC,94
43,231,Highway,390,100,292,Articulated Bus,Depot,86
30,150,Rural,405,85,285,Standard City Bus,Depot,65
32,200,Urban,457,82,335,Double Decker Bus,Depot,79
51,282,Highway,428,108,303,Double Decker Bus,Pantograph,82
28,143,Rural,421,88,323,Double Decker Bus,Fast DC,74
29,134,Rural,432,86,352,Articulated Bus,Depot,90
29,154,Rural,375,84,266,Standard City Bus,Fast DC,52
34,201,Urban,408,82,331,Articulated Bus,Depot,82
30,183,Urban,364,89,287,Standard City Bus,Pantograph,65
54,255,Highway,443,111,346,Articulated Bus,Depot,89
31,151,Rural,303,90,243,Mini Bus,Depot,25
31,179,Rural,433,77,323,Articulated Bus,Depot,94
28,138,Rural,420,83,337,Double Decker Bus,Fast DC,84
28,167,Rural,337,83,271,Mini Bus,Depot,33
33,187,Urban,408,92,345,Standard City Bus,Pantograph,58
32,232,Urban,424,79,336,Double Decker Bus,Pantograph,70
33,142,Rural,397,88,279,Standard City Bus,Fast DC,59
41,292,Highway,318,87,233,Mini Bus,Depot,29
30,176,Urban,411,79,310,Standard City Bus,Fast DC,65
42,298,Highway,433,94,351,Double Decker Bus,Depot,73
40,238,Urban,458,99,382,Double Decker Bus,Fast DC,81
25,147,Rural,330,84,243,Mini Bus,Pantograph,31
50,275,Highway,365,110,296,Standard City Bus,Depot,60
38,170,Urban,389,92,309,Standard City Bus,Depot,50
37,201,Urban,398,94,311,Articulated Bus,Depot,81
30,174,Urban,378,84,269,Standard City Bus,Depot,52
33,182,Urban,450,82,317,Articulated Bus,Pantograph,93
43,290,Highway,419,95,332,Standard City Bus,Depot,64
35,170,Urban,400,94,293,Articulated Bus,Fast DC,93
25,158,Rural,446,78,327,Articulated Bus,Pantograph,89
30,171,Rural,366,84,294,Standard City Bus,Depot,54
48,243,Highway,285,95,218,Mini Bus,Depot,34
35,197,Rural,396,85,288,Standard City Bus,Depot,56
38,238,Urban,429,89,341,Articulated Bus,Depot,91
38,190,Urban,430,95,346,Articulated Bus,Fast DC,81
32,199,Rural,334,88,246,Mini Bus,Fast DC,31
45,296,Highway,379,98,320,Standard City Bus,Pantograph,56
33,192,Urban,326,79,238,Mini Bus,Fast DC,28
45,225,Highway,294,105,225,Mini Bus,Pantograph,30
31,205,Urban,421,81,351,Double Decker Bus,Pantograph,70
40,232,Urban,436,86,319,Double Decker Bus,Depot,78
26,159,Rural,480,80,407,Double Decker Bus,Depot,81
42,248,Highway,420,91,303,Double Decker Bus,Fast DC,72
27,197,Rural,459,82,362,Double Decker Bus,Pantograph,77
45,295,Highway,394,100,298,Standard City Bus,Fast DC,50
50,271,Highway,428,98,357,Double Decker Bus,Fast DC,79
34,140,Rural,465,84,376,Double Decker Bus,Depot,70
26,195,Rural,421,86,309,Articulated Bus,Pantograph,81
32,156,Rural,319,86,245,Mini Bus,Fast DC,26
25,157,Rural,305,70,244,Mini Bus,Depot,28
34,192,Rural,439,91,325,Double Decker Bus,Fast DC,73
36,195,Urban,407,84,301,Standard City Bus,Depot,50
55,261,Highway,336,107,235,Mini Bus,Depot,27
29,192,Rural,324,81,248,Mini Bus,Pantograph,34
33,192,Rural,452,91,344,Articulated Bus,Pantograph,84
51,235,Highway,374,98,306,Standard City Bus,Depot,53
25,152,Rural,400,73,303,Standard City Bus,Depot,60
31,226,Urban,460,79,370,Articulated Bus,Fast DC,85
28,195,Rural,416,73,302,Standard City Bus,Depot,62
36,187,Urban,336,81,278,Mini Bus,Depot,30
33,196,Urban,452,87,329,Double Decker Bus,Fast DC,78
28,158,Rural,439,75,345,Double Decker Bus,Depot,83
41,295,Highway,410,99,326,Articulated Bus,Pantograph,90
38,170,Urban,431,87,360,Double Decker Bus,Fast DC,82
40,194,Urban,422,97,320,Articulated Bus,Fast DC,91
47,250,Highway,411,94,341,Articulated Bus,Depot,94
30,205,Urban,420,83,339,Double Decker Bus,Fast DC,82
33,176,Urban,442,78,310,Articulated Bus,Depot,90
35,219,Urban,452,88,364,Articulated Bus,Fast DC,82
38,170,Urban,291,90,243,Mini Bus,Depot,26
43,226,Highway,319,90,223,Mini Bus,Depot,25
33,191,Urban,422,86,325,Double Decker Bus,Pantograph,77
36,227,Urban,375,84,305,Standard City Bus,Pantograph,62
34,140,Rural,424,89,338,Double Decker Bus,Pantograph,74
32,224,Urban,469,90,365,Double Decker Bus,Fast DC,71
27,156,Rural,393,80,303,Articulated Bus,Depot,94
34,187,Rural,403,79,301,Articulated Bus,Depot,85
45,282,Highway,469,97,371,Double Decker Bus,Pantograph,85
55,277,Highway,293,106,239,Mini Bus,Fast DC,25
28,135,Rural,365,80,264,Standard City Bus,Pantograph,60
36,232,Urban,418,88,354,Standard City Bus,Pantograph,58
33,214,Urban,375,86,274,Standard City Bus,Pantograph,63
44,233,Highway,449,89,332,Articulated Bus,Depot,89
25,141,Rural,283,85,215,Mini Bus,Pantograph,33
52,278,Highway,476,111,388,Double Decker Bus,Depot,72
43,282,Highway,424,90,328,Articulated Bus,Fast DC,89
26,178,Rural,324,85,252,Mini Bus,Pantograph,26
55,226,Highway,417,110,338,Standard City Bus,Fast DC,56
37,239,Urban,411,94,299,Articulated Bus,Pantograph,87
38,226,Urban,413,86,306,Articulated Bus,Pantograph,83
27,178,Rural,410,74,344,Standard City Bus,Pantograph,64
33,156,Rural,462,91,365,Double Decker Bus,Depot,79
32,153,Rural,418,83,353,Articulated Bus,Pantograph,80
28,155,Rural,454,82,376,Articulated Bus,Pantograph,80
40,266,Highway,397,87,326,Standard City Bus,Depot,51
45,298,Highway,452,105,326,Articulated Bus,Fast DC,94
33,158,Rural,443,84,342,Articulated Bus,Pantograph,83
44,239,Highway,439,89,338,Double Decker Bus,Pantograph,78
46,221,Highway,321,106,235,Mini Bus,Depot,28
30,213,Urban,401,78,331,Standard City Bus,Fast DC,59
34,214,Urban,315,81,247,Mini Bus,Depot,26
38,237,Urban,436,83,370,Articulated Bus,Depot,82
42,300,Highway,314,93,243,Mini Bus,Depot,35
40,235,Highway,368,94,306,Standard City Bus,Fast DC,54
55,267,Highway,454,105,353,Articulated Bus,Pantograph,87
44,266,Highway,284,101,218,Mini Bus,Fast DC,26
29,143,Rural,423,77,352,Double Decker Bus,Fast DC,70
29,171,Rural,301,78,225,Mini Bus,Fast DC,35
33,204,Urban,461,92,353,Double Decker Bus,Pantograph,76
25,151,Rural,292,75,234,Mini Bus,Depot,30
42,270,Highway,362,88,285,Standard City Bus,Pantograph,62
31,157,Rural,400,88,311,Standard City Bus,Pantograph,55
55,256,Highway,319,107,249,Mini Bus,Pantograph,31
37,197,Urban,307,92,243,Mini Bus,Depot,30
34,236,Urban,337,92,267,Mini Bus,Fast DC,29
40,224,Urban,474,97,369,Double Decker Bus,Pantograph,78
27,189,Rural,434,85,357,Double Decker Bus,Pantograph,84
36,228,Urban,479,86,378,Double Decker Bus,Pantograph,81
29,173,Rural,365,80,264,Standard City Bus,Depot,62
55,232,Highway,457,111,372,Articulated Bus,Fast DC,80
32,182,Urban,419,84,346,Standard City Bus,Pantograph,64
52,284,Highway,447,99,363,Articulated Bus,Pantograph,83
44,287,Highway,389,89,318,Standard City Bus,Fast DC,65
42,237,Highway,404,94,302,Articulated Bus,Depot,93
43,294,Highway,425,102,307,Articulated Bus,Fast DC,85
38,192,Urban,398,88,334,Standard City Bus,Pantograph,56
32,213,Urban,313,84,228,Mini Bus,Fast DC,31
41,229,Highway,447,90,329,Double Decker Bus,Depot,76
47,228,Highway,318,95,232,Mini Bus,Depot,31
53,230,Highway,362,104,304,Standard City Bus,Pantograph,52
32,154,Rural,440,92,317,Articulated Bus,Depot,94
50,245,Highway,474,105,337,Double Decker Bus,Depot,79
44,229,Highway,457,92,350,Double Decker Bus,Pantograph,75
37,186,Urban,317,95,234,Mini Bus,Pantograph,28
50,262,Highway,312,100,224,Mini Bus,Fast DC,27
46,238,Highway,379,99,300,Standard City Bus,Pantograph,58
44,277,Highway,433,104,317,Articulated Bus,Pantograph,94
31,170,Urban,282,90,205,Mini Bus,Depot,35
46,269,Highway,280,92,201,Mini Bus,Depot,30
31,240,Urban,450,76,347,Double Decker Bus,Depot,82
54,247,Highway,407,103,297,Standard City Bus,Fast DC,55
40,226,Urban,412,94,342,Articulated Bus,Depot,88
39,194,Urban,461,91,354,Double Decker Bus,Pantograph,78
41,285,Highway,441,94,328,Double Decker Bus,Depot,84
31,139,Rural,463,90,345,Double Decker Bus,Depot,84
34,195,Rural,429,79,332,Double Decker Bus,Fast DC,71
35,206,Urban,404,88,331,Standard City Bus,Fast DC,62
53,277,Highway,431,101,335,Double Decker Bus,Pantograph,85
45,250,Highway,284,95,216,Mini Bus,Fast DC,28
28,195,Rural,459,79,322,Double Decker Bus,Depot,72
30,134,Rural,413,88,336,Articulated Bus,Pantograph,93
33,208,Urban,293,86,218,Mini Bus,Pantograph,33
33,153,Rural,320,78,231,Mini Bus,Pantograph,26
39,209,Urban,432,85,323,Articulated Bus,Pantograph,95
32,177,Urban,478,85,358,Double Decker Bus,Depot,72
51,278,Highway,433,108,345,Double Decker Bus,Depot,73
26,151,Rural,418,76,299,Articulated Bus,Depot,92
33,163,Rural,372,88,278,Standard City Bus,Pantograph,61
38,216,Urban,314,86,248,Mini Bus,Pantograph,35
44,279,Highway,421,90,351,Articulated Bus,Fast DC,89
46,230,Highway,415,99,316,Articulated Bus,Pantograph,86
40,232,Urban,441,90,342,Articulated Bus,Depot,94
31,164,Rural,431,76,320,Double Decker Bus,Fast DC,84
27,169,Rural,445,81,351,Articulated Bus,Pantograph,84
33,139,Rural,386,78,276,Standard City Bus,Depot,63
30,132,Rural,418,90,328,Articulated Bus,Fast DC,84
34,230,Urban,338,94,236,Mini Bus,Depot,28
38,207,Urban,434,98,307,Articulated Bus,Pantograph,81
44,292,Highway,313,98,223,Mini Bus,Fast DC,29
31,197,Urban,371,77,266,Standard City Bus,Fast DC,62
53,292,Highway,287,112,207,Mini Bus,Fast DC,31
37,192,Urban,333,92,277,Mini Bus,Pantograph,29
32,175,Urban,432,91,313,Articulated Bus,Depot,81
31,172,Rural,426,82,349,Articulated Bus,Pantograph,85
34,197,Urban,444,83,371,Double Decker Bus,Fast DC,85
54,238,Highway,425,114,323,Double Decker Bus,Pantograph,85
36,187,Urban,439,90,354,Articulated Bus,Depot,83
30,156,Rural,393,86,303,Standard City Bus,Pantograph,64
25,130,Rural,454,71,378,Double Decker Bus,Pantograph,70
27,141,Rural,477,81,387,Double Decker Bus,Fast DC,79
39,191,Urban,296,92,245,Mini Bus,Pantograph,31
43,263,Highway,416,92,306,Articulated Bus,Depot,87
25,137,Rural,451,83,336,Double Decker Bus,Fast DC,72
28,146,Rural,333,77,254,Mini Bus,Depot,27
31,240,Urban,309,76,243,Mini Bus,Fast DC,33
35,134,Rural,431,82,304,Articulated Bus,Depot,81
28,168,Rural,438,74,311,Articulated Bus,Fast DC,83
44,282,Highway,391,97,320,Articulated Bus,Depot,92
34,174,Rural,307,92,222,Mini Bus,Pantograph,27
29,166,Rural,421,78,325,Double Decker Bus,Pantograph,74
55,274,Highway,291,105,225,Mini Bus,Pantograph,32
43,290,Highway,282,97,214,Mini Bus,Fast DC,29
36,185,Urban,437,93,333,Double Decker Bus,Depot,79
27,144,Rural,326,79,276,Mini Bus,Depot,26
32,185,Urban,372,86,283,Standard City Bus,Fast DC,60
33,197,Urban,313,85,249,Mini Bus,Pantograph,31
25,163,Rural,364,70,265,Standard City Bus,Pantograph,55
33,225,Urban,295,89,210,Mini Bus,Fast DC,29
34,202,Urban,426,80,305,Articulated Bus,Depot,82
40,223,Urban,450,87,326,Double Decker Bus,Pantograph,80
33,237,Urban,436,93,314,Double Decker Bus,Pantograph,70
28,137,Rural,465,87,349,Double Decker Bus,Fast DC,80
40,232,Urban,472,89,372,Double Decker Bus,Fast DC,73
34,231,Urban,459,88,362,Articulated Bus,Fast DC,86
30,145,Rural,439,83,343,Double Decker Bus,Pantograph,73
28,141,Rural,435,73,334,Double Decker Bus,Pantograph,84
54,293,Highway,340,105,288,Mini Bus,Pantograph,27
46,267,Highway,438,94,352,Double Decker Bus,Pantograph,81
29,198,Rural,417,84,294,Articulated Bus,Fast DC,81
34,153,Rural,465,88,379,Double Decker Bus,Fast DC,72
33,141,Rural,479,82,339,Double Decker Bus,Pantograph,74
44,286,Highway,366,104,270,Standard City Bus,Depot,62
52,227,Highway,448,100,350,Double Decker Bus,Fast DC,81
33,221,Urban,286,88,226,Mini Bus,Pantograph,29
29,197,Rural,372,83,292,Standard City Bus,Fast DC,63
25,163,Rural,429,77,360,Double Decker Bus,Pantograph,84
35,176,Rural,390,94,315,Standard City Bus,Depot,52
35,201,Urban,314,81,266,Mini Bus,Fast DC,29
42,240,Highway,364,95,263,Standard City Bus,Depot,59
44,270,Highway,427,91,304,Double Decker Bus,Fast DC,78
52,278,Highway,310,101,225,Mini Bus,Depot,35
39,186,Urban,376,84,276,Standard City Bus,Pantograph,64
26,139,Rural,322,78,227,Mini Bus,Fast DC,32
49,271,Highway,393,108,304,Articulated Bus,Depot,86
33,219,Urban,456,88,320,Articulated Bus,Pantograph,90
43,250,Highway,447,96,313,Double Decker Bus,Pantograph,72
31,215,Urban,444,83,327,Double Decker Bus,Depot,85
40,267,Highway,418,86,331,Standard City Bus,Fast DC,65
40,222,Urban,315,85,252,Mini Bus,Depot,35
40,209,Urban,436,88,334,Double Decker Bus,Depot,78
47,295,Highway,314,102,255,Mini Bus,Fast DC,27
49,240,Highway,456,96,320,Double Decker Bus,Fast DC,74
47,259,Highway,396,104,310,Articulated Bus,Pantograph,81
39,201,Urban,405,87,328,Standard City Bus,Pantograph,61
45,258,Highway,412,98,302,Standard City Bus,Fast DC,58
42,276,Highway,368,89,305,Standard City Bus,Pantograph,57
39,192,Urban,428,99,354,Articulated Bus,Fast DC,95
31,189,Urban,431,88,315,Double Decker Bus,Pantograph,79
31,182,Urban,476,89,335,Double Decker Bus,Fast DC,85
32,231,Urban,416,80,342,Articulated Bus,Depot,86
29,186,Rural,453,77,367,Articulated Bus,Depot,94
40,280,Highway,360,95,255,Standard City Bus,Pantograph,63
25,177,Rural,390,78,329,Standard City Bus,Fast DC,65
34,231,Urban,423,80,350,Articulated Bus,Pantograph,85
34,227,Urban,448,82,328,Articulated Bus,Depot,87
55,290,Highway,332,112,269,Mini Bus,Pantograph,30
32,207,Urban,424,79,355,Double Decker Bus,Fast DC,76
31,210,Urban,420,88,343,Double Decker Bus,Pantograph,73
26,174,Rural,450,82,376,Articulated Bus,Pantograph,91
32,176,Rural,428,90,351,Articulated Bus,Fast DC,86
40,181,Urban,438,99,329,Articulated Bus,Pantograph,83
25,169,Rural,338,83,259,Mini Bus,Depot,32
36,215,Urban,308,86,251,Mini Bus,Pantograph,33
31,216,Urban,286,90,201,Mini Bus,Fast DC,35
31,208,Urban,410,76,302,Articulated Bus,Pantograph,87
55,221,Highway,310,107,251,Mini Bus,Fast DC,28
30,168,Rural,413,88,293,Articulated Bus,Depot,93
50,290,Highway,435,109,314,Articulated Bus,Depot,92
40,184,Urban,437,93,313,Double Decker Bus,Fast DC,76
47,275,Highway,282,92,207,Mini Bus,Depot,26
33,184,Rural,418,91,351,Articulated Bus,Pantograph,87
30,190,Rural,397,80,309,Articulated Bus,Fast DC,94
40,245,Highway,415,94,302,Articulated Bus,Fast DC,86
50,299,Highway,428,99,300,Double Decker Bus,Depot,70
32,220,Urban,326,87,254,Mini Bus,Fast DC,27
33,224,Urban,330,85,259,Mini Bus,Depot,28
50,222,Highway,447,98,342,Articulated Bus,Depot,82
31,219,Urban,395,88,315,Standard City Bus,Pantograph,59
32,134,Rural,283,77,229,Mini Bus,Depot,28
32,197,Rural,321,82,226,Mini Bus,Fast DC,32
39,205,Urban,460,99,389,Double Decker Bus,Depot,72
31,180,Urban,424,83,322,Articulated Bus,Depot,86
35,177,Urban,477,80,368,Double Decker Bus,Fast DC,79
41,293,Highway,369,92,310,Standard City Bus,Fast DC,56
34,194,Urban,360,79,299,Standard City Bus,Depot,52
35,201,Urban,470,90,362,Double Decker Bus,Depot,75
54,284,Highway,292,99,207,Mini Bus,Depot,27
39,203,Urban,289,84,244,Mini Bus,Fast DC,25
28,194,Rural,335,82,240,Mini Bus,Fast DC,31
33,147,Rural,406,79,298,Articulated Bus,Depot,87
54,264,Highway,412,111,301,Articulated Bus,Pantograph,86
44,264,Highway,443,97,323,Double Decker Bus,Pantograph,79
36,212,Urban,406,84,313,Articulated Bus,Fast DC,80
44,220,Highway,325,93,240,Mini Bus,Fast DC,35
51,262,Highway,414,96,315,Articulated Bus,Pantograph,88
37,217,Urban,414,94,301,Articulated Bus,Pantograph,81
46,299,Highway,280,103,197,Mini Bus,Pantograph,30
39,170,Urban,465,87,329,Double Decker Bus,Fast DC,71
43,290,Highway,395,95,284,Articulated Bus,Pantograph,81
37,220,Urban,374,92,273,Standard City Bus,Pantograph,62
44,232,Highway,295,94,232,Mini Bus,Fast DC,30
49,240,Highway,479,97,357,Double Decker Bus,Fast DC,82
40,184,Urban,446,93,319,Double Decker Bus,Pantograph,78
31,186,Rural,413,80,310,Standard City Bus,Pantograph,57
45,281,Highway,319,102,251,Mini Bus,Fast DC,30
32,237,Urban,468,89,383,Double Decker Bus,Depot,75
52,299,Highway,383,111,323,Standard City Bus,Fast DC,63
34,138,Rural,327,87,242,Mini Bus,Depot,25
53,267,Highway,304,100,254,Mini Bus,Fast DC,33
29,138,Rural,466,83,392,Double Decker Bus,Pantograph,76
40,197,Urban,285,92,234,Mini Bus,Pantograph,26
54,289,Highway,372,109,279,Standard City Bus,Pantograph,61
36,218,Urban,393,94,329,Standard City Bus,Fast DC,52
34,164,Rural,405,89,296,Standard City Bus,Fast DC,64
40,260,Highway,413,93,345,Standard City Bus,Pantograph,60
31,180,Rural,365,90,308,Standard City Bus,Depot,60
42,236,Highway,451,88,338,Articulated Bus,Depot,90
31,228,Urban,307,79,237,Mini Bus,Fast DC,34
34,186,Rural,302,92,247,Mini Bus,Depot,27
25,193,Rural,405,77,329,Articulated Bus,Fast DC,94
33,218,Urban,395,90,293,Standard City Bus,Fast DC,60
35,130,Rural,281,89,221,Mini Bus,Pantograph,26
31,173,Rural,411,78,347,Standard City Bus,Pantograph,61
39,232,Urban,366,95,275,Standard City Bus,Depot,64
51,238,Highway,315,105,246,Mini Bus,Fast DC,26
46,286,Highway,446,100,313,Double Decker Bus,Fast DC,83
51,240,Highway,388,97,278,Standard City Bus,Pantograph,60
42,221,Highway,412,102,303,Standard City Bus,Fast DC,63
32,183,Urban,303,77,217,Mini Bus,Depot,31
31,186,Urban,376,78,306,Standard City Bus,Pantograph,64
33,195,Rural,443,84,338,Double Decker Bus,Fast DC,77
40,176,Urban,336,99,244,Mini Bus,Depot,26
48,296,Highway,438,102,340,Double Decker Bus,Fast DC,83
47,259,Highway,396,95,277,Standard City Bus,Depot,55
47,252,Highway,414,104,343,Standard City Bus,Pantograph,61
46,250,Highway,388,102,293,Standard City Bus,Fast DC,63
28,156,Rural,447,81,361,Articulated Bus,Depot,91
27,130,Rural,392,82,322,Standard City Bus,Pantograph,60
44,295,Highway,436,91,358,Double Decker Bus,Depot,80
34,204,Urban,477,79,394,Double Decker Bus,Depot,84
52,225,Highway,389,101,290,Standard City Bus,Fast DC,57
46,226,Highway,302,98,231,Mini Bus,Pantograph,29
25,172,Rural,375,78,266,Standard City Bus,Depot,56
39,176,Urban,404,87,330,Standard City Bus,Fast DC,63
32,181,Rural,370,82,282,Standard City Bus,Pantograph,58
42,297,Highway,468,97,379,Double Decker Bus,Pantograph,78
55,260,Highway,426,112,328,Double Decker Bus,Fast DC,84
32,212,Urban,283,91,225,Mini Bus,Fast DC,35
30,162,Rural,459,84,328,Double Decker Bus,Depot,78
40,276,Highway,393,99,324,Standard City Bus,Fast DC,59
50,227,Highway,396,99,290,Standard City Bus,Fast DC,52
49,260,Highway,406,101,323,Standard City Bus,Fast DC,59
49,262,Highway,456,102,342,Articulated Bus,Depot,88
31,184,Urban,454,90,355,Articulated Bus,Depot,85
49,256,Highway,480,97,341,Double Decker Bus,Depot,77
33,172,Rural,309,86,219,Mini Bus,Depot,25
33,192,Rural,476,81,370,Double Decker Bus,Pantograph,71
49,226,Highway,469,103,379,Double Decker Bus,Pantograph,78
33,163,Rural,321,88,258,Mini Bus,Depot,34
48,233,Highway,361,106,290,Standard City Bus,Depot,63
41,262,Highway,333,93,248,Mini Bus,Depot,34
37,192,Urban,427,83,357,Double Decker Bus,Fast DC,74
52,222,Highway,476,110,341,Double Decker Bus,Pantograph,83
26,199,Rural,411,72,296,Articulated Bus,Fast DC,83
31,160,Rural,386,85,319,Standard City Bus,Pantograph,60
29,161,Rural,434,88,317,Articulated Bus,Depot,93
39,192,Urban,459,97,375,Articulated Bus,Depot,80
53,243,Highway,281,102,213,Mini Bus,Depot,31
26,176,Rural,380,85,272,Standard City Bus,Depot,59
52,242,Highway,364,97,297,Standard City Bus,Pantograph,58
37,198,Urban,325,83,251,Mini Bus,Fast DC,35
25,136,Rural,409,75,309,Standard City Bus,Pantograph,52
34,161,Rural,476,85,344,Double Decker Bus,Pantograph,82
30,175,Urban,303,84,257,Mini Bus,Pantograph,30
44,300,Highway,387,102,303,Standard City Bus,Depot,61
35,176,Rural,295,83,238,Mini Bus,Fast DC,28
32,189,Urban,417,79,331,Articulated Bus,Depot,93
44,289,Highway,458,89,372,Articulated Bus,Depot,94
55,237,Highway,407,114,288,Articulated Bus,Depot,84
27,162,Rural,361,72,281,Standard City Bus,Pantograph,65
53,269,Highway,441,111,348,Articulated Bus,Pantograph,85
37,188,Urban,285,82,204,Mini Bus,Fast DC,26
33,200,Urban,401,79,334,Standard City Bus,Depot,52
